                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     83,               0.029206,               0.024006,                0.01897,               0.042715,                0.55466,                0.11701,                0.14728,                0.10914,                0.55304,                0.11604,                0.14577,                0.10443,               0.038892,                0.03286,               0.029347,               0.069441,               0.001882,               0.001882,               0.001882
                     84,               0.028923,                 0.0237,               0.017946,               0.042862,                0.60405,                0.12174,                0.15394,                0.11252,                0.59949,                0.12033,                0.15024,                 0.1055,                0.03882,               0.032053,                0.02874,                0.06977,               0.001783,               0.001783,               0.001783
                     85,               0.029045,               0.023632,               0.018745,               0.043422,                0.48881,                0.15717,                0.14807,                0.10669,                0.48247,                0.14936,                0.14297,               0.099918,                0.03893,               0.032042,               0.028961,               0.070717,               0.001684,               0.001684,               0.001684
                     86,               0.027771,               0.022694,               0.017589,               0.043581,                0.33517,                0.19074,                0.12991,               0.091258,                0.33241,                0.18419,                 0.1257,               0.087284,                0.03896,               0.032372,               0.029198,               0.069857,               0.001585,               0.001585,               0.001585
                     87,               0.027349,               0.022922,               0.017735,               0.042202,                 0.4864,                0.14029,                0.14076,                0.10328,                0.48351,                0.13451,                0.13627,               0.095542,               0.038581,               0.031812,               0.028925,               0.071777,               0.001486,               0.001486,               0.001486
                     88,               0.028039,               0.022568,                0.01743,               0.041298,                0.39284,                0.16478,                0.13443,               0.096352,                0.39012,                0.15962,                0.13081,               0.090912,               0.038301,               0.031954,               0.029145,               0.071741,               0.001387,               0.001387,               0.001387
                     89,               0.027017,               0.021988,               0.017024,               0.040979,                0.30643,                0.19917,                0.13613,                 0.1014,                0.30535,                0.20256,                  0.132,               0.096276,               0.038722,                 0.0321,               0.029227,               0.069058,               0.001288,               0.001288,               0.001288
                     90,               0.027667,               0.023131,               0.017578,               0.041637,                0.39889,                 0.1719,                0.13638,               0.099437,                 0.3961,                 0.1672,                0.13032,               0.092843,               0.038398,               0.032353,               0.029361,               0.069777,               0.001189,               0.001189,               0.001189
                     91,               0.026588,               0.022171,               0.017392,                  0.042,                0.47992,                0.12558,                0.13969,                0.10272,                0.47413,                0.11824,                 0.1343,               0.096207,                0.03829,               0.031759,               0.029907,               0.071055,                0.00109,                0.00109,                0.00109
                     92,               0.027111,               0.022142,               0.017935,               0.039952,                0.57584,                 0.1095,                0.13806,                0.10201,                0.58523,                0.11207,                0.13645,               0.095767,               0.039214,               0.031663,               0.029694,               0.070264,               0.000991,               0.000991,               0.000991
                     93,               0.027539,               0.022756,               0.018643,               0.039829,                0.51848,                0.11865,                0.14741,                 0.1116,                0.55772,                0.10838,                 0.1448,                0.10587,               0.038679,               0.031556,                0.03008,                0.06985,               0.000892,               0.000892,               0.000892
                     94,               0.027279,               0.022676,               0.017607,               0.040218,                0.27637,                 0.1847,                0.13867,                0.10205,                0.27514,                0.18208,                0.13598,               0.097463,                0.03867,               0.031905,               0.029783,               0.071071,               0.000793,               0.000793,               0.000793
                     95,               0.026721,               0.022937,                0.01816,               0.040128,                0.40474,                0.14951,                0.13938,                0.10384,                0.40042,                0.14581,                  0.135,               0.095567,               0.038688,               0.032121,               0.030112,               0.070942,               0.000694,               0.000694,               0.000694
                     96,               0.026095,               0.022193,               0.016474,                0.03964,                0.31336,                0.18786,                0.13645,                0.10165,                0.31379,                0.18152,                0.13259,               0.094437,               0.038216,               0.031972,               0.029714,               0.071922,               0.000595,               0.000595,               0.000595
                     97,               0.026155,                0.02206,               0.016297,               0.037515,                0.31641,                0.19965,                0.14092,                0.10246,                0.31172,                0.19211,                0.13724,               0.095834,               0.038419,               0.031969,               0.029551,               0.072408,               0.000496,               0.000496,               0.000496
                     98,               0.026305,               0.022185,               0.017456,               0.039057,                0.36078,                0.17487,                0.14145,                0.10293,                0.35805,                0.17016,                0.13681,               0.095151,               0.038276,                0.03178,               0.029736,               0.071014,               0.000397,               0.000397,               0.000397
                     99,               0.026027,               0.022763,               0.017591,                0.03961,                0.37004,                0.18453,                0.14279,                0.10823,                0.36685,                0.18085,                0.13845,               0.098984,               0.038282,               0.031804,               0.029583,               0.070027,               0.000298,               0.000298,               0.000298
                    100,                0.60436,                0.12181,                0.15439,                0.11284,                0.59972,                 0.1204,                0.15063,                0.10583,               0.038816,               0.032048,               0.028743,               0.069775
